"Saison" "Spieltag" "Heimteam" "Auswartsteam" "Tore_heim" "Tore_aus" "Chancen_heim" "Chancen_aus"
"203" 2020 23 42 20 5 1 10 4
"204" 2020 23 44 27 2 0 2 1
"205" 2020 23 8 6 3 0 11 2
"206" 2020 23 16 2 5 1 7 3
"207" 2020 23 47 15 2 1 4 4
"208" 2020 24 6 84 0 0 2 3
"209" 2020 24 2 47 1 1 3 4
"210" 2020 24 16 8 4 2 8 2
"211" 2020 24 27 50 2 1 7 4
"212" 2020 24 15 42 1 1 6 1
"213" 2020 24 33 54 0 3 1 9
"214" 2020 24 49 44 2 1 3 3
"215" 2020 24 9 7 0 1 4 5
"216" 2020 24 20 24 0 0 1 2
"217" 2020 25 42 49 2 0 4 5
"218" 2020 25 54 15 1 1 6 2
"219" 2020 25 7 6 1 2 6 5
"220" 2020 25 8 27 2 0 4 0
"221" 2020 25 47 16 1 3 2 6
"222" 2020 25 24 33 1 0 5 3
"223" 2020 25 84 2 2 1 0 0
"224" 2020 25 44 20 5 0 7 1
"225" 2020 25 50 9 3 1 3 7
"226" 2020 26 33 50 2 0 5 7
"227" 2020 26 27 7 3 0 9 1
"228" 2020 26 49 24 1 2 5 6
"229" 2020 26 20 9 0 3 1 5
"230" 2020 26 47 44 1 2 4 3
"231" 2020 26 2 8 2 2 2 4
"232" 2020 26 15 84 5 2 5 7
"233" 2020 26 16 42 4 0 6 4
"234" 2020 26 6 54 0 1 0 8
"235" 2020 27 84 27 1 1 2 1
"236" 2020 27 42 47 1 0 1 2
"237" 2020 27 9 33 2 1 6 5
"238" 2020 27 54 16 0 1 3 5
"239" 2020 27 50 49 2 1 2 5
"240" 2020 27 24 6 1 1 4 1
"241" 2020 27 44 2 1 0 5 1
"242" 2020 27 7 20 2 1 2 1
"243" 2020 27 8 15 1 2 6 3
"244" 2020 28 49 7 0 0 0 5
"245" 2020 28 2 24 2 3 3 6
"246" 2020 28 20 50 1 0 2 4
"247" 2020 28 42 8 2 3 3 7
"248" 2020 28 47 54 1 4 2 4
"249" 2020 28 27 9 2 2 7 4
"250" 2020 28 15 44 4 3 5 7
"251" 2020 28 16 84 1 1 2 2
"252" 2020 28 6 33 1 0 4 0
"253" 2020 29 24 27 1 1 10 6
"254" 2020 29 8 47 4 1 10 3
"255" 2020 29 7 2 3 0 5 2
"256" 2020 29 50 6 0 0 4 1
"257" 2020 29 84 42 2 1 4 2
"258" 2020 29 33 20 4 0 9 2
"259" 2020 29 44 16 2 3 3 8
"260" 2020 29 9 15 4 0 4 3
"261" 2020 29 54 49 0 0 1 0
"262" 2020 30 27 33 3 0 6 3
"263" 2020 30 42 44 1 3 3 4
"264" 2020 30 47 24 0 1 1 2
"265" 2020 30 49 9 3 2 8 4
"266" 2020 30 8 84 2 0 5 0
"267" 2020 30 6 20 1 0 3 1
"268" 2020 30 15 50 2 0 4 4
"269" 2020 30 16 7 2 0 8 3
"270" 2020 30 2 54 2 1 3 3
"271" 2020 31 20 27 1 2 1 7
"272" 2020 31 50 2 2 3 3 5
"273" 2020 31 9 6 5 0 12 4
"274" 2020 31 54 42 2 0 11 0
"275" 2020 31 7 15 3 1 8 3
"276" 2020 31 24 16 2 1 3 4
"277" 2020 31 84 47 3 1 6 5
"278" 2020 31 33 49 1 1 6 4
"279" 2020 31 44 8 0 2 2 3
"280" 2020 32 27 6 0 0 3 5
"281" 2020 32 15 24 1 1 2 2
"282" 2020 32 2 33 1 4 2 6
"283" 2020 32 16 9 6 0 7 2
"284" 2020 32 47 7 0 0 1 4
"285" 2020 32 44 84 3 0 6 1
"286" 2020 32 49 20 4 2 12 3
"287" 2020 32 8 54 3 2 3 8
"288" 2020 32 42 50 2 1 5 8
"289" 2020 33 54 44 2 2 4 4
"290" 2020 33 24 8 1 3 4 4
"291" 2020 33 6 49 1 1 7 2
"292" 2020 33 50 47 2 0 4 3
"293" 2020 33 20 15 4 3 5 8
"294" 2020 33 27 2 0 0 2 4
"295" 2020 33 33 16 2 2 3 6
"296" 2020 33 7 84 1 1 4 5
"297" 2020 33 9 42 1 2 4 6
"298" 2020 34 2 20 1 0 10 1
"299" 2020 34 84 54 2 1 4 6
"300" 2020 34 15 33 3 1 11 6
"301" 2020 34 44 24 2 3 6 7
"302" 2020 34 49 27 2 1 6 5
"303" 2020 34 8 7 3 1 3 8
"304" 2020 34 16 50 5 2 12 3
"305" 2020 34 42 6 0 2 0 3
"306" 2020 34 47 9 0 0 0 0
